hold_id,user_id,book_id,library_id,hold_date,expiry_date
1,4,20,1,2024-07-25,2024-08-13
2,2,11,4,2024-09-02,2024-09-08
3,2,7,4,2024-07-27,2024-08-14
4,8,5,3,2024-02-03,2024-09-08
5,1,16,2,2024-02-15,2024-07-04
6,8,3,2,2024-04-25,2024-05-07
7,10,3,3,2024-02-26,2024-08-22
8,7,3,1,2024-05-14,2024-06-28
9,8,5,2,2024-01-15,2024-04-10
10,3,8,2,2024-06-09,2024-08-11
11,5,14,5,2024-02-29,2024-05-24
12,3,19,2,2024-03-17,2024-08-21
13,7,3,5,2024-01-12,2024-07-23
14,9,13,1,2024-04-27,2024-08-08
15,4,1,3,2024-05-03,2024-06-25
16,5,4,4,2024-05-06,2024-06-13
17,7,14,3,2024-06-19,2024-08-16
18,4,1,1,2024-06-08,2024-06-16
19,5,7,2,2024-07-14,2024-07-17
20,4,14,5,2024-05-12,2024-05-12
